Image	OCR
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000707.jpg	['MSNBC', 'Livd', 'Or46m']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000851.jpg	"['STANLEY STEEMER', 'Aesid', 'WmeRciAL CLEANING', ""'STRNLEY SteeneR"", 'Wadkto', 'JE', 'Hod', 'AIR duGT', 'upholstcy']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000183.jpg	['@ALMBEAST', 'Trumps New Favorite COVID Doctor Believes In Alien DNA', 'Demon Sperm; and Hydroxychloroquine', 'the physical effects of having sex wlth wltches and', 'demons in your dreams:', 'NEW LePROSY AND MALARIA CASES IDENTIFIED IN FLORIDA', 'MSNBC', 'WUchlluldowe']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000699.jpg	"['WAPO: FEDERAL PROSECUTORS HAVE ISSUED NEW SUBPOENAS', 'MSNBC', 'RELATED To""FAKE ELECTOR"" SCHEME IN MULTIPLE STATES', 'LIVd', '0.405']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000660.jpg	"['WAPO: TRUMP 2020 ELECTION INDICTMENT SHOWS', 'MSNBC', '""FAKE ELECTOR"" PLOT RAISED CONCERNS OVER LEGAL PERIL', 'Livd', '0.430']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000029.jpg	['GUNMAKER UNDER FIRE FOR MARKETING CHILD-SIZE', 'MSNBC', 'RIFLE INSPIRED BY AR-15 TO CHILDREN', 'JRACHILLMAL Dor_']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000035.jpg	['GUNMAKER UNDER FIRE FOR MARKETING CHILD-SIZE', 'MSNBC', 'RIFLE INSPIRED BY AR-15 TO CHILDREN', 'JRACHILML Dor_', '6OJ']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000496.jpg	['Elic Nelu Uork Ouies', 'Jan: 6 Prosecutors Ask for Protective', 'Order; Citing Threatening Trump Post', 'Atur', 'Ranucennbcuna', 'MSNBC', 'JecEleddo']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000092.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livd', '6.056']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000455.jpg	['ASTEPRO', 'Show tonight;, can you make i?']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000561.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000411.jpg	['HIGH-STAKES SPECIAL ELECTION IN OHIO TOMORROW', 'MSNBC', 'COULD DECIDE FUTURE OF ABORTION IN THE STATE', 'JiUcHLLluldow']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000301.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livd', '9.105']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000031.jpg	['GUNMAKER UNDER FIRE FOR MARKETING CHILD-SIZE', 'MSNBC', 'RIFLE INSPIRED BY AR-15 TO CHILDREN', 'Livd', '7h016']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000815.jpg	['Acn Promotional Vidlo', 'INVESTORS CLAIM THEY WERE DEFRAUDED BY', 'MSNBC', 'MARKETING COMPANY PROMOTED BY TRUMP', 'Livi', '78536']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000715.jpg	['D6', 'Wonuatnnlto', 'WonderTrust.com']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000320.jpg	['OBJECTS IM MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livi', '9 205']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000235.jpg	['OBJECTS IM MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRACHILML Dor']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000735.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000377.jpg	"['OH SEC . OF STATE ADMITTED ISSUE 1 BALLOT MEASURE', 'MSNBC', 'IS ""100% ABOUT STOPPING POSSIBLE ABORTION AMENDMENT', 'Liv', '0.245']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000622.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000185.jpg	['QAHLYBEAST', 'Trumps New Favorite COVID Doctor Believesin Alien DNA', 'Demon Sperm; and Hydroxychloroquine', 'Ynuulmubtberini', 'the physical effects of having sex with witches and', 'demons in your dreams:', 'MSNBC', 'LIVI', '0.1165']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000012.jpg	['MSNBC']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000761.jpg	['Operation( )Smile', '888-800-6791', 'www oporatlonsmile.org']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000042.jpg	['2', 'GUNMAKER UNDER FIRE FOR MARKETING CHILD-SIZE', 'MSNBC', 'RIFLE INSPIRED BY AR-15 TO CHILDREN', 'LIVE', 'Oozm']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000268.jpg	['A Bill Banning Most Abortions Becomes', 'Law In Ohio', 'Au', 'MSNBC']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000587.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000721.jpg	['dich']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000757.jpg	['Ounnduilcom']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000149.jpg	"[""RON DESANTIS' MAIN PRESIDENTIAL CAMPAIGN Pitch"", 'MSNBC', 'IS THAT HELL MAKE AMERICA MORE LIKE FLORIDA', 'Livd', 'Oode']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000302.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livu', '9.1905']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000865.jpg	['Dudixcnt', 'PREVEN', 'ASTHMA ATTACKS']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000578.jpg	"['DIkTaRvY""', 'Accordlng t0 DHHS tokino HIV treatmont o"" proicribodard guttino t0 and stoyino undetectablo', 'Joral Icoit', 'monthe provcnte trontinitting HIv throuoh eor Tall t0 your hcalthcoro providort0 Icurn moro']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000461.jpg	['n']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000063.jpg	"['JR1S', ""Smallcr Safcr' Lightcr"", 'JcIS', 'CeE5', 'Aaue', 'crcoit; WecITACTICAL co4', 'MSNBC', 'IichLlluldow', 'JdC']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000345.jpg	['IcuyAHoGA COUNIY', 'DOARD Op ELECTIONS', '~EEL L', 'High-STAKES SPECIAL ELECTION IN OHIO TOMORROW', 'MSNBC', 'COULD DECIDE FUTURE OF ABORTION IN THE STATE', 'LIVE', '0.226', 'NOTE;', '216 443 VOTe', '(8683)']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000726.jpg	['ACTUAL', 'GARY', 'PATIENT']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000359.jpg	['High-STAKFIRHZ', 'OHIo BALLOT MEASURE COULD DECIDE', 'MSNBC', 'OF ABORTION IN THE STATE', 'LIVE', '9231']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000681.jpg	"['WAPO: JACK Smiths PROBE INTO ""FAKE ELECTORS""', 'MSNBC', 'STILL ONGOING DESPITE FILING OF FEDERAL INDICTMENT']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000476.jpg	['hovoocd']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000108.jpg	['OBJECTS IM MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRcHLMulDor']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000762.jpg	['Operation( )Smile', '888-800-6791', 'www operatlonsmlle org']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000115.jpg	['Je NEWS', 'Trump Signs Bill Revoking Obama-Era Gun ', 'Checks for People With Mental Illnesses', 'Mau', 'MSNBC', 'Livt', '0.075']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000594.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000599.jpg	['UMGCedu']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000391.jpg	['HIGH-STAKES SPECIAL ELECTION IN OHIO TOMORROW', 'MSNBC', 'COULD DECIDE FUTURE OF ABORTION IN THE STATE', 'Livt', '6,255']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000677.jpg	['AMY GARD', 'Lbe lua-hinalon Vost', 'MSNBC', 'MAMNU ROLITICAL AROTER', 'JRNCHLMADDON']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000447.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000204.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'LivI', '0.136']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000356.jpg	['High-STAKES OHIQ BALLOT MEASURE COULD DECIDE', 'MSNBC', 'FUTURE OF ABORTION IN THE STATE', 'ena', 'Mldow']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000569.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000205.jpg	"['Miich iulJooal l (Moa', 'SD', 'WmcalmeiJard', 'DEC: 2020: ""FAKE ELECTORS"" MEET TO SUBMIT', 'MSNBC', 'FALSE ELECTORAL SLATES TO CONGRESS', 'LIVG', '0.135']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000170.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRACIIL MaL Dor']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000535.jpg	"['Aeaee', 'To safeguard witness privacy and the integrity of these', ""proceedings, the Court should enter the Government's"", 'proposed protective order:', 'BREAKING NEWS', 'DOJ: PROTECTIVE ORDER NECESSARY TO ""SAFEGUARD WITNESS', 'MSNBC', 'PRIVACY ANd THE INTEGRITY OF THESE PROCEEDINGS', 'LIVE', '7:35 5', 'Jtt', '4eatet [a', 'Lite', 'CCt']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000164.jpg	"['Coutl', 'Tomid', 'molarie', 'OCBSNEWS', 'Alcrt', 'attor', 'KecaHeracaono', 'how t0', 'protcct', 'Mverrnconlirmned in Fiorlds', 'contirmodin Fiorido.', 'cuchl', 't', 'mosqpultortenlter', 'Foxg', 'Florida malaria cases contracted,', 'nsmitted in Sarasota, which hasn""t', 'hhappened since 1950s: Health officials', 'MSNBC', 'Wecclldo', 'caeot', 'Aucd', 'nutnan e', 'Youraclf']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000190.jpg	['Orlundo Sentinel', 'advice', 'young', 'Feds ncbuke Forida', 'WCn on COVID vaccine', 'MSNBC', 'LIVE', '0.125', 'Kcnenul.', 'ugcon', 'LAG']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000362.jpg	['MSNBC', 'LIVE', '0.231']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000061.jpg	"['JR1S', ""SmallcR Safcr' Lightcr"", 'JcIS', 'CaeE5', 'Aee', 'crcoit; WecitAcTICAL com', 'MSNBC', 'LIVI', 'OOj1', 'JdC']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000760.jpg	['Operation( )Smile', '888-800-6791', 'www oporatlonsmile org']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000241.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'LivI', '0186']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000790.jpg	['ACN', 'ReNrESENDE ES', 'HrrnonN', 'comdumln', 'ACN PromotiONAL Vidio', 'VIDEO PHONE COMPANY ACN WAS', 'MSNBC', 'MADE OBSOLETE BY SMARTPHONES', 'JiLcHLLiuldow']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000700.jpg	"['WAPO: FEDERAL PROSECUTORS HAVE ISSUED NEW SUBPOENAS', 'MSNBC', 'RELATED To\'FAKE ELECTOR"" SCHEME IN MULTIPLE STATES', 'IRAcHLLMualow']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000571.jpg	['berty:']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000515.jpg	['Rorrnhingng', 'Htturntuto', 'ttuki', 'cmt', 'M Wtt', 'Iuuct vicwt', 'MSNBC', 'JichLlluldon']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000245.jpg	"['HIGH-STAKES OHIQ BALLOT', 'ONEASURE', 'COULD DECIDE', 'MSNBC', 'FUTURE OF ABORTION IN', 'STATE', 'Livu', '0.156', '2 (7""']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000725.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000186.jpg	['QAILYBEAST', 'Trumps New Favorite COVID Doctor Believesin Alien DNA', 'Demon Sperm; and Hydroxychloroquine', 'Yoculmubuneri', 'the physical effects of having sex with witches and', 'demons in your dreams:', 'MSNBC', 'Livt', '0.125']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000830.jpg	['67', 'MSNBC', 'Livi', '0:545']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000072.jpg	['MSNBC', 'JRACHILMuL Dor']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000369.jpg	"['OH SEC . OF STATE ADMITTED ISSUE 1 BALLOT MEASURE', 'MSNBC', 'IS ""100%"" ABOUT STOPPING POSSIBLE ABORTION AMENDMENT', 'IcHLLluldow']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000250.jpg	['LOAD', 'HEALTHCA', 'My E0a', 'High-STAKES OHIQ BALLOT MEASURE COULD DECIDE', 'MSNBC', 'FUTURE OF ABORTION IN THE STATE', 'LIVI', '0ou', 'pp', 'Jis']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000546.jpg	"['BREAKING NEWS', ""DoJ: PROTECTIVE ORDER NECESSARY TO ' SAFEGUARD WITNESS"", 'MSNBC', 'PRIVACY ANd THE INTEGRITY OF THESE PROCEEDINGS', 'IRACHELMDDOW']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000551.jpg	"['uuunrahot', '(otdoralo j; Tumi  UdontcontiuriJlion 0itirQo *inmonldio]#ouontiot | (o4oc(vttotortJru', 'Dolenoante(14iRe!DoneHntn ina @ovaramtart(i ReplIna ( ouilaitcreouie > haanng On Int rime"" (epcue', 'ptopotan', 'courim', 'coruingti', 'Uared', 'oudli', 'Ineroaned', 'ahallmovtand conletandiflo', 'olntnotic', 'Ino d4teh and lintth On', 'Diore Avouiii1', '1028mren Doin Dailia', 'Jelela t0r', 'aJnno', 'Bonad DyJyo', 'Naya', ' an', 'oinotj', 'ott', 'BREAKING NEWS', 'JAN. 6 JUDGE ORDERS HEARING NO LATER THAN FRIDAY', 'MSNBC', 'RACHELMDDOW =']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000451.jpg	"[""'corral"", 'Ei GGt', 'golden']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000283.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livd', '9.10 5']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000479.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000137.jpg	['OBJECTS IM MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRACHLMuaLDow_']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000590.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000147.jpg	['AP', 'DeSantis argues US should be like', 'Florida ahead of 2024 bid', 'Mrastacttoran', 'MSNBC']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000505.jpg	['MSNBC', 'JRACHILMuLDon']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000668.jpg	"['WAPO: JACK Smiths PROBE INTO ""FAKE ELECTORS""', 'MSNBC', 'STILL ONGOING DESPITE FILING OF FEDERAL INDICTMENT', 'EACMEL', 'Mldow']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000662.jpg	['AMy GARDNER', 'chc Uukxahinalon Vost', 'MSNBC', 'NATIONAL POLITICAL REPORTER', 'LIVI', '0*431']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000350.jpg	['HIGH-STAKES SPECIAL ELECTION IN OHIO TOMORROW', 'MSNBC', 'COULD DECIDE FUTURE OF ABORTION IN THE STATE', 'JichLLMuldowe']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000781.jpg	"['ACN REVIEW', '""Success at ACN is not a mystery', 'If', ""you don't succeed, ACN doesn't"", 'succeed', 'ACN uses a model with a', ""proven track record and it'$ creating"", ""millionaires '"", 'MSNBC', 'ILcHLLluldowe', 'HCN']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000841.jpg	['UPCOMING TRUMP TRIALS', 'Gub', 'Ny AG civil FRAUD Suit OCTOBER 2, 2023', 'FEDERAL Civil DEFAMATION Suit JANUARY 15, 2024', 'FEDERAL Civil VIdeo PHONE Suit JANUARY 29,2024', 'MANHATTAN DA Hush MONEy CASE MARCH 25, 2024', 'FEDERAL CLASSIFIED DOCUMENTS CASE MAY 20,2024', 'FEDERAL JANUARY Gth CASE UNSCHEDULED', 'MSNBC', 'WMLl ddo', 'INT']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000915.jpg	['MSNBC', 'Li']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000519.jpg	['BREAKING NEWS', 'DOJ FILES RESPONSE TO TRUMP MOTION IN UNDER 3 HOURS', 'MSNBC', 'IRACHELMDDOW']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000398.jpg	['High-STAKFIRHZ', 'OHIo BALLOT MEASURE COULD DECIDE', 'MSNBC', 'OF ABORTION IN THE STATE', 'Jiachllluldow']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000382.jpg	"['OH SEC.Or-STATE ADMITTED ISSUE 1 BALLOT MEA', 'MSNBC', 'IS ""1003""ArQUT STOPPING POSSIBLE ABORTIQN AME LIV E', '0.256']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000139.jpg	"['B', 'ESidE NT', '24', 'RON DESANTIS"" MAIN PRESIDENTIAL CAMPAIGN PitCh', 'MSNBC', 'IS THAT HELL MAKE AMERICA MORE LIKE FLORIDA', 'LIVI', '8.O0#']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000354.jpg	['High-STAKFIRHZ', 'OHIo BALLOT MEASURE COULD DECIDE', 'MSNBC', 'OF ABORTION IN THE STATE', 'LIVE', '6.235']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000706.jpg	['MSNBC', 'JRACHILML Don']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000547.jpg	"['BREAKING NEWS', 'DOJ: PROTECTIVE ORDER NECESSARY TO ""SAFEGUARD WITNESS', 'MSNBC', 'PRIVACY ANd THE INTEGRITY OF THESE PROCEEDINGS""', 'HRACHELMDDOW']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000787.jpg	['67', 'MSNBC', 'Livu', '94525']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000318.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRACHILMuldor']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000335.jpg	['HIGH-STAKES SPECIAL ELECTION IN OHIO TOMORROW', 'MSNBC', 'COULD DECIDE FUTURE OF ABORTION IN THE STATE', 'LIVL', '0,216']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000526.jpg	"[""The defendant's principal objection to it"", 'is that it', 'would not permit the defendant or his counsel to publicly', 'disseminate; and publicize in the media, various', 'materials obtained from the Government in discovery:', 'BREAKING NEWS', 'DOJ: TRUMP ATTEMPTING TO ""TRY THIS CASE IN THE MEDIA""', 'MSNBC', 'LIVE', '9;345', 'Jttt', 'Cttda']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000853.jpg	['Filters', 'Amanten', 'Ucenl#a', 'Mltdae', '#onasa tnr', 'eate Erruttlt', 'Juletnne']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000912.jpg	['MSNBC', 'LIvl', 'O00 ']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000855.jpg	['realtorcom', 'To each their home:', 'Stord', 'Plly', 'Gooda', 'App']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000463.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000091.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRACHILMual Dor_']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000095.jpg	"['JR1S', ""Smallcr Safcr' Lightcr"", 'JfIS', 'CeE5', 'aue', 'CrcoiT; WcCItAcTICAL com', 'MSNBC', 'eACMladdo', 'Ldi']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000325.jpg	['HIGH-STAKES SPECIAL ELECTION IN OHIO TOMORROW', 'MSNBC', 'COULD DECIDE FUTURE OF ABORTION IN THE STATE', 'Liv', '0.211']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000129.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livt', 'Ooum']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000087.jpg	['Illinois to ban advertising for guns _', 'allegedly marketed to kids and', 'militants', 'By Johno connor', 'The prime exhibit', 'is the JR-15,', 'a smaller; lighter', 'version of the AR-15 semi-automatic rifle', 'MSNBC', 'LIVE', '7.056']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000403.jpg	['High-STAKES OHIQ BALLOT MEASURE COULD DECIDE', 'MSNBC', 'FUTURE OF ABORTION IN THE STATE', 'Jiclluldow']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000016.jpg	['ShoT JhowTvi Jamuary ?0, 2027', 'GUNMAKER UNDER FIRE FOR MARKETING CHILD-SIZE', 'MSNBC', 'RIFLE INSPIRED BY AR-15 TO CHILDREN', 'IichLlluldow', 'WEE|', '9ENSe']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000719.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000075.jpg	['Is the JR-15 a Rcal Riflc Designed for Children?', 'True', 'MSNBC', 'Snopes']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000238.jpg	['OBJECTS IM MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Ieadon']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000508.jpg	['MSNBC', 'LivI', 'O;J3m']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000248.jpg	['High-STAUFIRHZ', 'OHIo BALLOT MEASURE COULD DECIDE', 'MSNBC', 'OF ABORTION IN THE STATE', 'Wachauddor']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000684.jpg	"['WAPO: FEDERAL PROSECUTORS HAVE ISSUED NEW SUBPOENAS', 'MSNBC', 'RELATED To\'FAKE ELECTOR"" SCHEME IN MULTIPLE STATES', 'Livt', '78450']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000448.jpg	['Dooklngcom']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000842.jpg	['UPCOMING TRUMP TRIALS', 'Gob', 'Ny AG civil FRAUD Suit OCTOBER 2, 2023', 'FEDERAL Civil DEFAMATION Suit JANUARY 15, 2024', 'FEDERAL Civil VIdeo PHONE Suit JANUARY 29,2024', 'MANHATTAN DA Hush MONEy CASE MARCH 25, 2024', 'FEDERAL CLASSIFIED DOCUMENTS CASE MAY 20, 2024', 'FEDERAL JANUARY Gth CASE UNSCHEDULED', 'MSNBC', 'LIVI', 'Oh5s1', 'TNT']
